NOC,Team
CHN,China
CHN,China
DEN,Denmark
DEN,Denmark/Sweden
NED,Netherlands
NED,Netherlands
NED,Netherlands
NED,Netherlands
NED,Netherlands
NED,Netherlands
USA,United States
USA,United States
USA,United States
USA,United States
USA,United States
USA,United States
USA,United States
USA,United States
USA,United States
USA,United States
USA,United States
USA,United States
USA,United States
USA,United States
USA,United States
USA,United States
NED,Netherlands
NED,Netherlands
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
FIN,Finland
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
ROU,Romania
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NED,Netherlands
NOR,Norway
NOR,Norway
NED,Netherlands
NED,Netherlands
NED,Netherlands
EST,Estonia
NOR,Norway
FIN,Finland
FIN,Finland
FRA,France
NOR,Norway
NED,Netherlands
NED,Netherlands
NED,Netherlands
NED,Netherlands
NED,Netherlands
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Taifun
NOR,Norway
EST,Estonia
EST,Estonia
EST,Estonia
EST,Estonia
EST,Estonia
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
NOR,Norway
MAR,Morocco
EST,Estonia
EST,Estonia
EST,Estonia
EST,Estonia
ESP,Spain
ESP,Spain
ESP,Spain
ESP,Spain
ESP,Spain
ESP,Spain
FRA,France
EGY,Egypt
IRI,Iran
ESP,Spain
FRA,France
FRA,France
BUL,Bulgaria
BUL,Bulgaria
BUL,Bulgaria
BUL,Bulgaria
BUL,Bulgaria
BUL,Bulgaria
BUL,Bulgaria
ITA,Italy
ESP,Spain
CHA,Chad
AZE,Azerbaijan
SUD,Sudan
